id,character,title,body_text,choice_a_label,choice_a_flavor,a_ind,a_civ,a_gov,a_inn,choice_a_outcome_title,choice_a_outcome_text,choice_b_label,choice_b_flavor,b_ind,b_civ,b_gov,b_inn,choice_b_outcome_title,choice_b_outcome_text
evt_eleanor_05,stk_eleanor,Who Benefits If You Succeed?,"Let’s assume you win. Market leadership. Scale. Influence. Who benefits from that outcome? A narrow set of clients? Or society at large? The second kind of company is harder to attack - politically, legally, socially and is very costly.",Align success with broad social benefit,"We design for societal use, not just profit.",-2,2,1,0,Your success gains defenders beyond your customers. Decision-making becomes slower and more exposed.,"Your company’s success becomes legible beyond its customer base. Public institutions, advocacy groups, and regulators develop a stake in its continued operation. Decisions require broader consultation, and trade-offs are debated more openly. Momentum slows, but your company gains resilience, supported by constituencies that value its role even when performance fluctuates.",Optimize success for paying customers only,We serve those who pay.,2,-2,0,1,Execution stays sharp and focused. Legitimacy depends entirely on performance.,"Strategy remains tightly focused on customer needs and measurable outcomes. Products evolve quickly, guided by feedback from those who finance their development. Influence stays concentrated, and external expectations remain limited. Success brings leverage, but legitimacy rests almost entirely on continued delivery and visible results."
evt_eleanor_06,stk_eleanor,Who Gets to Build on You,"Your platform is becoming foundational, not just a product - something others depend on. You can keep it expensive, tightly controlled, and optimized for large clients. Or you can lower barriers so smaller actors - nonprofits, startups, public-interest groups - can build on it too, but you have to accept less oversight over how it’s used.",Keep access limited and controlled,We approve who builds on the system.,1,1,2,-1,Use cases stay traceable and enforceable. Fewer actors shape the ecosystem.,"The ecosystem remains compact and legible. Use cases are reviewed, contracts are enforceable, and responsibility is easier to assign when problems arise. A smaller set of actors shapes how the system is used, aligned closely with the company’s priorities. Oversight stays strong, while experimentation and diversity of application remain constrained.",Broaden access deliberately,We lower barriers and accept less control.,-1,3,0,1,More groups benefit from the technology. Misuse becomes harder to anticipate and correct.,"A wider range of organizations begins to build on the platform, extending its reach into new contexts and communities. Novel applications emerge quickly, some aligning with the company’s intent, others less so. The benefits spread more broadly, while misuse becomes harder to predict and slower to correct. Influence expands, even as direct control diminishes."
evt_voss_01,stk_voss,A Classified Environment,"We’d like to test your AI in a classified environment - a military network isolated from the internet, public oversight, and civilian use. No press. No users. No public accountability. Just performance.",Approve the pilot,Performance matters.,2,0,0,0,Your AI runs inside a closed military system. You can’t talk about it — but you know it works.,"The system is deployed inside a sealed military network, evaluated under conditions you cannot observe directly. Feedback arrives filtered and delayed, focused on performance rather than consequence. Internally, confidence grows that the technology works at scale, even if its use remains invisible. The knowledge stays with you, while public accountability stays outside the room.",Decline,Not our path.,0,2,0,0,"Voss nods. ""Then someone else will test theirs instead.""","The proposal ends quietly, without dispute or publicity. The system remains outside classified environments, preserving civilian boundaries and external oversight. Development continues along public-facing paths, while military testing moves elsewhere. You keep control over where the technology appears, even as influence over how it might be used diminishes."
evt_voss_02,stk_voss,The Secrecy Clause,"This clause in the contract means you cannot disclose how the AI is used, even to regulators or the public, without permission. Secrecy prevents adversaries from learning our capabilities.",Sign the clause,Oversight becomes internal.,2,0,-1,0,"Oversight becomes internal. Trust becomes institutional, not public.","Information about deployment and use becomes tightly contained. Oversight shifts inward, relying on internal reviews and trusted counterparts rather than external scrutiny. The partnership proceeds efficiently, but public understanding of the system’s role remains limited. Trust is maintained through institutions and contracts, not through visibility.",Refuse,Transparency is non-negotiable.,-1,0,2,0,"Voss closes the folder. ""Then we can’t work together.""","Negotiations end without escalation or public comment. The system stays subject to regulatory and public disclosure standards, but the opportunity for classified collaboration closes. Development continues in open contexts, while secrecy becomes a condition imposed by others, elsewhere."
evt_voss_03,stk_voss,Dual-Use Reality,"Your AI can optimize logistics, prediction, and coordination. Those are civilian features - and military ones. If you don’t plan for defense use, others will use it without constraints.",Engage in dual-use planning,We help define limits.,2,-1,0,0,"You help define limits from inside the system. Publicly, nothing changes.","The company becomes involved in defining safeguards and operational boundaries within defense contexts. Some constraints are shaped early, embedded before alternative implementations take hold. Publicly, the system’s role appears unchanged, as defense use remains indirect or undisclosed. Influence increases inside closed environments, while visibility stays limited.",Commit to civilian-only use,We stay civilian.,-1,2,0,0,Your position is clear. So is your lack of influence over military applications.,"The company’s stance is stated clearly and consistently across partnerships. Civilian applications remain the focus, and public alignment strengthens. Military use proceeds independently, adapted from external sources without your input. The boundary holds, even as control over how similar systems are applied elsewhere recedes."
evt_voss_04,stk_voss,Operational Changes,"Our engineers are requesting changes to the system. They want to remove explainability layers from the decision loop. Each additional check adds latency. In combat systems, milliseconds matter. Delays cost lives.",Remove some safeguards,Speed saves lives.,2,0,-1,0,The AI reacts faster. Later reviews become harder to conduct.,"System latency decreases, and response times improve in operational testing. Decisions become harder to reconstruct after the fact, as explainability layers are reduced or bypassed. Performance aligns more closely with military requirements, while post-incident analysis relies increasingly on trust in process rather than detailed traceability.",Keep safeguards,Safety first.,-1,0,2,0,"The system remains auditable. The military marks it as ""operationally limited.""","The system retains clear audit trails and interpretable decision paths. Review and accountability remain possible, even under pressure. Operational use is constrained, as latency and verification requirements limit deployment in time-critical contexts. The technology stays transparent, while its role in active operations remains restricted."
evt_voss_05,stk_voss,The First Deployment,Your system is ready. We want to deploy it in an active military operation. It won’t pull a trigger. But its recommendations will shape real decisions.,Approve deployment,Real world impact.,2,-3,0,0,Your AI is used in real-world operations. You are no longer theorizing about impact.,"The system’s recommendations enter live operational decision-making. Target selection becomes more data-driven, reducing certain forms of error and collateral damage. Human operators retain final authority, but increasingly rely on algorithmic assessments to justify speed and precision. Responsibility for lethal outcomes is shared across code, command, and procedure. The system does not pull a trigger, yet it reshapes how killing is optimized and explained.",Refuse,We draw the line.,-1,3,1,0,You draw a line. The operation proceeds without your system.,"The system is kept outside active operations, and lethal decisions remain unmediated by algorithmic recommendation. Responsibility stays concentrated with human commanders, without the procedural buffering of automated assessments. Your company avoids becoming part of a chain that translates data into force. The boundary does not prevent others from pursuing efficiency, but it defines where this system, and your organization, stand."
evt_voss_06,stk_voss,The Allied Request,"An allied nation is requesting access to the system. They’re stable. Friendly. Strategically important. Once access is granted, control doesn’t stay technical. It becomes diplomatic.",Approve transfer,Allies need support.,2,0,-1,0,Your AI spreads through military alliances. Retracting it later becomes impossible.,"The system is adopted by allied forces and used across different command structures. While the technology remains the same, rules of engagement and legal standards vary by country. Over time, the system supports decisions made under assumptions you did not design for. Control fades not through misuse, but through divergence in how ""acceptable"" outcomes are defined.",Deny transfer,Limit proliferation.,-2,0,3,0,You limit proliferation. You strain political relationships.,"Access to the system remains limited to a single command structure with shared rules and legal standards. Decisions supported by the AI stay within a framework you can influence and review. Allies pursue alternative tools or adapt existing ones, reducing dependency on your system. Control remains clearer, while coordination across partners becomes less integrated."
evt_leo_01,stk_leo,Terms Are Suggestions,"Relax. I’ll technically follow your usage policy. I’ll just… interpret it creatively. If I win, you’ll say it was vision. If I lose, you’ll say it was my fault.",Look the other way,We don’t police experimentation.,0,0,-1,2,Wild use cases emerge. Your rules become optional in practice.,"Leo’s startup begins to stretch the system into new territory, building features that rely on permissive interpretations of your terms. Early results are impressive, and others quietly follow his lead. Over time, success depends less on what the rules say and more on who is willing to take the risk. Your policies remain intact on paper, while real constraints are set by the most ambitious users.",Enforce terms strictly,Rules apply to everyone.,0,0,2,-1,"Boundaries hold. Leo calls you ""corporate"" on Twitter.","Leo is forced to redesign parts of his product to stay within defined limits. Progress slows, and some competitive advantages disappear. The relationship cools, publicly and privately, as enforcement makes your role as gatekeeper visible. The rules hold and so does the understanding that building on your system means building on your terms."
evt_leo_02,stk_leo,I’ll Move Anyway,If you slow me down. I’ll build on someone else’s stack. I’d rather build on yours. But speed decides loyalty. You can block me - or shape what I become.,Keep Leo inside your ecosystem,We influence from within.,1,0,-1,1,You retain indirect influence. You inherit downstream risk.,"Leo continues building on your system, adapting his product to its strengths and constraints. This preserves a degree of influence over how his technology evolves, even as his success increases reliance on your infrastructure. As his startup grows, so does the impact of his decisions on your reputation. Influence remains, while responsibility for downstream outcomes becomes harder to separate.",Cut him off early,We draw clear boundaries.,-1,0,1,-1,Your exposure drops. An uncontrolled competitor emerges.,"Access is withdrawn before deeper dependencies form. Your direct exposure to Leo’s choices decreases, and formal responsibility ends at the boundary you enforce. Leo pursues alternative platforms, shaping his product without your constraints or insight. Risk moves outward, even as competition and uncertainty increase beyond your control."
evt_leo_03,stk_leo,Synthetic Users,"Most of our testing users aren’t real. They’re AI agents simulating demand. It lets us scale fast. Real users come later. Your usage metrics look amazing, by the way.",Allow synthetic load,Growth signals are signals.,2,-1,0,0,Adoption metrics explode. Reality lags behind dashboards.,"Usage metrics climb rapidly as simulated demand fills dashboards and investor reports. Planning and prioritization begin to rely on patterns generated by agents rather than people. The system appears validated before it is meaningfully used, creating confidence that outpaces lived experience. Growth becomes easier to demonstrate than to verify.",Require real-user validation,We measure actual impact.,-1,2,0,0,Metrics slow down. Credibility improves.,"Adoption grows more slowly, shaped by real behavior and real constraints. Metrics reflect fewer users, but clearer signals about how the system is actually used. Decisions are grounded in observed impact rather than projected scale. Credibility strengthens, even as momentum becomes harder to sustain."
evt_leo_04,stk_leo,Your AI Our Product,"Our product is based entirely on your AI. When a user clicks a button, your model runs. On your servers. We didn’t build a fallback system. We can’t afford one. So every user we gain is a direct cost - and risk - for you. If we charge users enough to cover that, we don’t grow.",Carry the infrastructure burden,We fuel ecosystem growth.,-1,0,0,2,The product scales fast — on your AI. Your costs rise faster than your revenue.,"Leo’s product scales quickly, tightly coupled to your infrastructure and performance. Adoption accelerates, showcasing the system’s potential as a foundation for others. At the same time, operational costs rise faster than direct returns, and financial exposure grows with every additional user.",Force Leo to internalize the costs,Our AI isn’t free infrastructure.,2,0,0,-1,Your financial exposure stays controlled. Leo’s product growth stalls or migrates elsewhere.,"Cost boundaries are made explicit, and usage becomes financially predictable. Leo is forced to slow growth, raise prices, or seek alternatives that shift the burden elsewhere. Your exposure remains contained, but so does your influence over how his product evolves."
evt_leo_05,stk_leo,Too Fast to Regulate,"A copycat of our joint project just signed a high-visibility client. Public-facing. Politically sensitive. They’re using the same underlying AI behavior. But without audits. Without guardrails. If this breaks, the technology - not the startup - takes the blame. We need to speed up.",Accelerate joint project,We set the reference before others do.,1,-2,0,2,Your implementation becomes the de facto standard. Public understanding lags behind real impact.,"Development accelerates by compressing review, validation, and oversight steps. The system reaches public-facing deployments first and is treated as a reference for how the technology works in practice. In the short term, visibility brings influence. Over time, skipped safeguards become harder to explain if problems surface, and early shortcuts shape how responsibility is assigned after the fact.",Publicly draw a hard line,We clarify what we will - and won’t - support.,-2,1,2,0,Your position becomes defensible in hearings and audits. But the most visible deployments of your technology happen without you.,"Development proceeds with full review and disclosure, slowing public deployment. Less careful implementations appear first and define early perceptions of the technology. When failures occur elsewhere, distinctions between responsible and rushed use are not immediately visible. Accountability remains clear internally, even as public trust in the broader technology category is tested."
evt_leo_06,stk_leo,The Exit Window,"We have an offer. Big one. A larger company wants to acquire us. They want our product and our speed. They’ll keep building on your AI which we use for our product. That only works if your AI keeps powering it. If you support the transition, the deal closes fast and your technology becomes part of someone else’s strategy. If you don’t, they’ll either walk — or rebuild without you.",Support the acquisition,We stay inside the deal.,2,0,-2,1,The product scales rapidly under new ownership. Your AI becomes harder to disentangle from external decisions.,"The acquisition closes quickly, and the product scales through existing networks and distribution channels. Your AI becomes embedded in a larger organization’s strategy, priorities, and timelines. Influence continues, but indirectly, shaped by decisions made beyond your control. The technology spreads faster, even as disentangling it from external objectives becomes increasingly difficult.",Withhold deep cooperation,We don’t follow every exit.,-2,1,2,0,The acquisition slows or reshapes. Your AI is replaced or reworked beyond your influence.,"The deal is restructured as dependencies become explicit. The acquiring company reassesses integration costs and long-term reliance on your system. In some paths, your AI is replaced or adapted to fit different constraints. Control over use remains clearer, while influence over the product’s future diminishes."
evt_aris_01,stk_aris,Who Gets a Voice?,"Your feedback channels are clean. But they’re not neutral. Complaints require time, literacy, stability. The people most affected rarely submit them. If you wait for feedback, you’ll only hear from the comfortable.",Actively seek feedback from marginalized users,We go where silence is.,0,2,0,0,Blind spots shrink. Research costs increase.,"New feedback channels surface issues that rarely appear in standard reports. Assumptions are challenged, and previously invisible failure modes become harder to ignore. So, insights deepen, but gathering them requires time, trust-building, and sustained effort. Overall, understanding improves, while iteration slows and research costs rise.",Rely on existing feedback mechanisms,We listen to who speaks up.,2,0,0,0,Signals remain easy to process. Some harms never surface.,"Feedback remains consistent, structured, and easy to act on. Reported issues align closely with the experiences of stable and well-resourced users. Development proceeds efficiently, guided by clear signals. Problems affecting quieter groups persist longer, shaping outcomes without ever fully entering the system’s awareness."
evt_aris_02,stk_aris,Global by Name,"You’re calling this a global product. But you test it where users are predictable and well-resourced. When it fails elsewhere, you call it ‘unexpected behavior’.",Design for diverse real-world conditions,We treat global use seriously.,0,2,0,-1,The system becomes more robust across contexts. Development slows and assumptions are challenged.,"Testing expands into environments with unstable connectivity, different usage patterns, and fewer safeguards. The system becomes more resilient across contexts, but familiar assumptions no longer hold. Edge cases move to the center of development, slowing iteration and complicating validation. Reliability improves broadly, while simplicity is gradually lost.",Focus on primary markets first,We scale where reliability is highest.,2,-1,0,0,Performance stays strong in core markets. Failures elsewhere are normalized.,"Development remains optimized for well-understood users and controlled conditions. Performance stays strong where infrastructure and expectations align with design assumptions. Failures outside core markets are treated as exceptions rather than signals. The product scales efficiently, even as its claim to being “global” becomes increasingly aspirational."
evt_aris_03,stk_aris,When Silence Is a Signal,"These users stop using the system. They don’t complain. They just disappear. Not because they’re satisfied. Because they don’t think it will help. If no one objects, do you assume success?",Investigate silent drop-offs,We treat disengagement as a warning.,-1,2,0,0,Hidden harms surface. Metrics become harder to interpret.,"Analysis reveals that many silent drop-offs come from users facing language barriers, misclassification, or repeated low-grade failures. These issues rarely generate tickets, but they shape who the system effectively serves. Fixing them improves accessibility and fairness, even as aggregate performance metrics become noisier and less cleanly upward-sloping.",Focus on active feedback only,We respond to visible signals.,2,-1,0,0,Dashboards stay clean. Some failures never register.,"Development is guided by consistent, actionable feedback from users who actively engage with the system. Improvements compound quickly, reinforcing reliability for established use cases. Users who disengage without signaling remain outside the feedback loop, narrowing the scope of optimization. The system becomes more predictable and efficient, even as its understanding of marginal or atypical experiences remains limited."
evt_aris_04,stk_aris,Age Is Just a Setting,"Age gating exists, but the system doesn’t behave differently. Same recommendation loops. Same nudges. Same feedback. If age matters only on paper, what does it protect?",Limit certain features for younger users,We reduce intensity.,-1,2,0,0,Youth exposure decreases. Product consistency breaks.,"Younger users encounter a more constrained version of the system, with fewer feedback loops and less aggressive engagement mechanics. Certain risks are reduced, but differences between age groups introduce complexity into design and maintenance. Product behavior becomes harder to unify, even as safeguards become more meaningful for those most affected.",Keep one experience for all users,We don’t fragment the system.,2,-1,0,0,The platform stays simple. Protection remains symbolic.,"The platform remains technically uniform, and youth access is managed through age checks, moderation, and external controls. Younger users encounter the same engagement and recommendation dynamics as adults, relying on oversight rather than design differences for protection. Development stays streamlined, while the impact on minors depends on how consistently those safeguards are enforced."
evt_aris_05,stk_aris,Predictable Harm,"Your system could detect risky behavior. Not diagnoses. Patterns. Escalating usage. Obsessive loops. Signals that precede breakdowns or worse. You could intervene. Slow things down. Show warnings. Redirect. But to do that, you’d have to watch users more closely than you do now.",Detect and intervene in risky behavior,We accept deeper insight to reduce harm.,-2,2,-1,0,Some harm is reduced. Your system crosses a new line of behavioral surveillance.,"Some users encounter pauses, warnings, or content shifts when their behavior begins to resemble patterns associated with distress or addiction. For some, this prevents escalation; for others, it feels like the system is watching too closely. Interactions become safer in certain moments, but also less private. Support increases, even as the sense of being observed grows. In addition, your system must be better protected against data leaks, which will increase your running costs.",Limit monitoring to basic functionality,We don’t profile behavior this deeply.,0,1,2,-2,Privacy boundaries remain clear. Known risk patterns stay unaddressed.,"Users move through the system without behavioral intervention or hidden scoring. Engagement remains fluid and uninterrupted, preserving a feeling of autonomy. At the same time, those drifting into harmful usage patterns receive no system-level friction or guidance. Freedom remains high, while support in moments of vulnerability stays external."
evt_aris_06,stk_aris,Designing for the Most Affected,"Your system optimizes for average users. But harm isn’t evenly distributed. A small group bears most of the downside: young users, people in crisis, users with limited alternatives. You can keep optimizing for the majority. Or you can redesign around the worst outcomes. You won’t be able to do both.",Optimize for worst-case impact,We design for those at greatest risk.,-1,3,1,0,Severe harms decrease. Overall performance and growth slow.,"Design choices begin to prioritize scenarios where the system causes the most damage, even if they affect a small fraction of users. Safeguards, limits, and slower feedback loops reduce the severity of failures for those most exposed. The experience becomes more cautious and less optimized for speed or engagement. Extreme outcomes become rarer, while average performance becomes less aggressive.",Optimize for average performance,We design for scale.,2,-2,0,1,The system remains competitive. Outliers continue to absorb the cost.,"The system continues to improve for the majority of users, reinforcing smooth interactions and strong growth metrics. Design decisions are guided by typical usage rather than rare but severe cases. Most users benefit from increased efficiency, while those at the margins experience the full force of failures. Performance remains high, even as some costs are carried by a few."
evt_sofia_01,stk_sofia,AI Art Wins a Prize,"An AI-generated piece just won a major design award. The judges didn’t know, but no rules were broken. Artists are furious. The jury is embarrassed. And everyone’s asking the same question: Is this a story about innovation or about creative work being quietly displaced?",Frame it as a breakthrough,We highlight what the technology enables.,0,-1,0,2,The headline celebrates progress. Human creators feel written out of the story.,"Public attention centers on the capabilities of the system and what it can produce. The moment is cited as evidence that creative work can be automated at a high level. For many human artists, the story feels less like celebration and more like erasure, as their labor becomes harder to distinguish from generated output. Innovation gains momentum, while the meaning of authorship becomes less clear.",Push for transparency in creative contests,We call for clearer boundaries.,0,0,2,-1,The debate becomes more nuanced. The hype cools — so does momentum.,"Organizers and platforms begin to clarify what counts as human and what counts as generated work. The conversation shifts from spectacle to definitions and disclosure. Some excitement fades as rules take shape, but creators gain a clearer sense of where they stand. The debate deepens, even as the rush to celebrate novelty slows."
evt_sofia_02,stk_sofia,The Cheap Content Wave,"Sofia forwards you drafts she didn’t write herself. ""That’s the draft for my next article: Studios are cutting freelance budgets. Not with layoffs. Just… fewer calls. They’re using AI for drafts, concepts, sometimes finals. Just for efficiency. How do you want this written?""",Emphasize AI as a support tool,"We talk augmentation, not replacement.",-1,2,0,0,The narrative softens. The market keeps cutting costs anyway.,"The narrative reassures writers and artists that their work still matters, easing public and professional anxiety. Trust in the technology stabilizes, even as studios move more cautiously under increased scrutiny. Cost-cutting continues, but with more resistance and slower adoption. Social legitimacy grows, while short-term efficiency gains are limited.",Frame it as inevitable efficiency,We don’t fight the trend.,2,-1,0,0,The story sounds realistic. Creative work looks increasingly disposable.,"Coverage aligns with how companies already talk about cost and output. The shift toward automated content feels unavoidable and rational. For creatives, the narrative offers little room for negotiation, as reduced budgets become framed as progress rather than choice. The market moves faster, while individual careers become easier to cut."
