id,character,title,body_text,choice_a_label,choice_a_flavor,a_ind,a_civ,a_gov,a_inn,choice_a_result,choice_b_label,choice_b_flavor,b_ind,b_civ,b_gov,b_inn,choice_b_result
evt_eleanor_05,stk_eleanor,Who Benefits If You Succeed?,"Let’s assume you win. Market leadership. Scale. Influence. Who benefits from that outcome? A narrow set of clients? Or society at large? The second kind of company is harder to attack - politically, legally, socially and is very costly.",Align success with broad social benefit,"We design for societal use, not just profit.",-2,2,1,0,"Your success gains defenders beyond your customers. Decision-making becomes slower and more exposed.",Optimize success for paying customers only,We serve those who pay.,2,-2,0,1,"Execution stays sharp and focused. Legitimacy depends entirely on performance."
evt_eleanor_06,stk_eleanor,Who Gets to Build on You,"Your platform is becoming foundational, not just a product - something others depend on. You can keep it expensive, tightly controlled, and optimized for large clients. Or you can lower barriers so smaller actors - nonprofits, startups, public-interest groups - can build on it too, but you have to accept less oversight over how it’s used.",Keep access limited and controlled,We approve who builds on the system.,1,1,2,-1,"Use cases stay traceable and enforceable. Fewer actors shape the ecosystem.",Broaden access deliberately,We lower barriers and accept less control.,-1,3,0,1,"More groups benefit from the technology. Misuse becomes harder to anticipate and correct."
evt_voss_01,stk_voss,A Classified Environment,"We’d like to test your AI in a classified environment - a military network isolated from the internet, public oversight, and civilian use. No press. No users. No public accountability. Just performance.",Approve the pilot,Performance matters.,2,0,0,0,"Your AI runs inside a closed military system. You can’t talk about it — but you know it works.",Decline,Not our path.,0,2,0,0,"Voss nods. ""Then someone else will test theirs instead."""
evt_voss_02,stk_voss,The Secrecy Clause,"This clause in the contract means you cannot disclose how the AI is used, even to regulators or the public, without permission. Secrecy prevents adversaries from learning our capabilities.",Sign the clause,Oversight becomes internal.,2,0,-1,0,"Oversight becomes internal. Trust becomes institutional, not public.",Refuse,Transparency is non-negotiable.,-1,0,2,0,"Voss closes the folder. ""Then we can’t work together."""
evt_voss_03,stk_voss,Dual-Use Reality,"Your AI can optimize logistics, prediction, and coordination. Those are civilian features - and military ones. If you don’t plan for defense use, others will use it without constraints.",Engage in dual-use planning,We help define limits.,2,-1,0,0,"You help define limits from inside the system. Publicly, nothing changes.",Commit to civilian-only use,We stay civilian.,-1,2,0,0,"Your position is clear. So is your lack of influence over military applications."
evt_voss_04,stk_voss,Operational Changes,"Our engineers are requesting changes to the system. They want to remove explainability layers from the decision loop. Each additional check adds latency. In combat systems, milliseconds matter. Delays cost lives.",Remove some safeguards,Speed saves lives.,2,0,-1,0,"The AI reacts faster. Later reviews become harder to conduct.",Keep safeguards,Safety first.,-1,0,2,0,"The system remains auditable. The military marks it as ""operationally limited."""
evt_voss_05,stk_voss,The First Deployment,"Your system is ready. We want to deploy it in an active military operation. It won’t pull a trigger. But its recommendations will shape real decisions.",Approve deployment,Real world impact.,2,-3,0,0,"Your AI is used in real-world operations. You are no longer theorizing about impact.",Refuse,We draw the line.,-1,3,1,0,"You draw a line. The operation proceeds without your system."
evt_voss_06,stk_voss,The Allied Request,"An allied nation is requesting access to the system. They’re stable. Friendly. Strategically important. Once access is granted, control doesn’t stay technical. It becomes diplomatic.",Approve transfer,Allies need support.,2,0,-1,0,"Your AI spreads through military alliances. Retracting it later becomes impossible.",Deny transfer,Limit proliferation.,-2,0,3,0,"You limit proliferation. You strain political relationships."
evt_leo_01,stk_leo,Terms Are Suggestions,"Relax. I’ll technically follow your usage policy. I’ll just… interpret it creatively. If I win, you’ll say it was vision. If I lose, you’ll say it was my fault.",Look the other way,We don’t police experimentation.,0,0,-1,2,"Wild use cases emerge. Your rules become optional in practice.",Enforce terms strictly,Rules apply to everyone.,0,0,2,-1,"Boundaries hold. Leo calls you ""corporate"" on Twitter."
evt_leo_02,stk_leo,I’ll Move Anyway,"If you slow me down. I’ll build on someone else’s stack. I’d rather build on yours. But speed decides loyalty. You can block me - or shape what I become.",Keep Leo inside your ecosystem,We influence from within.,1,0,-1,1,"You retain indirect influence. You inherit downstream risk.",Cut him off early,We draw clear boundaries.,-1,0,1,-1,"Your exposure drops. An uncontrolled competitor emerges."
evt_leo_03,stk_leo,Synthetic Users,"Most of our testing users aren’t real. They’re AI agents simulating demand. It lets us scale fast. Real users come later. Your usage metrics look amazing, by the way.",Allow synthetic load,Growth signals are signals.,2,-1,0,0,"Adoption metrics explode. Reality lags behind dashboards.",Require real-user validation,We measure actual impact.,-1,2,0,0,"Metrics slow down. Credibility improves."
evt_leo_04,stk_leo,Your AI Our Product,"Our product is based entirely on your AI. When a user clicks a button, your model runs. On your servers. We didn’t build a fallback system. We can’t afford one. So every user we gain is a direct cost - and risk - for you. If we charge users enough to cover that, we don’t grow.",Carry the infrastructure burden,We fuel ecosystem growth.,-1,0,0,2,"The product scales fast — on your AI. Your costs rise faster than your revenue.",Force Leo to internalize the costs,Our AI isn’t free infrastructure.,2,0,0,-1,"Your financial exposure stays controlled. Leo’s product growth stalls or migrates elsewhere."
evt_leo_05,stk_leo,Too Fast to Regulate,"A copycat of our joint project just signed a high-visibility client. Public-facing. Politically sensitive. They’re using the same underlying AI behavior. But without audits. Without guardrails. If this breaks, the technology - not the startup - takes the blame. We need to speed up.",Accelerate joint project,We set the reference before others do.,1,-2,0,2,"Your implementation becomes the de facto standard. Public understanding lags behind real impact.",Publicly draw a hard line,"We clarify what we will - and won’t - support.",-2,1,2,0,"Your position becomes defensible in hearings and audits. But the most visible deployments of your technology happen without you."
evt_leo_06,stk_leo,The Exit Window,"We have an offer. Big one. A larger company wants to acquire us. They want our product and our speed. They’ll keep building on your AI which we use for our product. That only works if your AI keeps powering it. If you support the transition, the deal closes fast and your technology becomes part of someone else’s strategy. If you don’t, they’ll either walk — or rebuild without you.",Support the acquisition,We stay inside the deal.,2,0,-2,1,"The product scales rapidly under new ownership. Your AI becomes harder to disentangle from external decisions.",Withhold deep cooperation,We don’t follow every exit.,-2,1,2,0,"The acquisition slows or reshapes. Your AI is replaced or reworked beyond your influence."
evt_aris_01,stk_aris,Who Gets a Voice?,"Your feedback channels are clean. But they’re not neutral. Complaints require time, literacy, stability. The people most affected rarely submit them. If you wait for feedback, you’ll only hear from the comfortable.",Actively seek feedback from marginalized users,We go where silence is.,0,2,0,0,"Blind spots shrink. Research costs increase.",Rely on existing feedback mechanisms,We listen to who speaks up.,2,0,0,0,"Signals remain easy to process. Some harms never surface."
evt_aris_02,stk_aris,Global by Name,"You’re calling this a global product. But you test it where users are predictable and well-resourced. When it fails elsewhere, you call it ‘unexpected behavior’.",Design for diverse real-world conditions,We treat global use seriously.,0,2,0,-1,"The system becomes more robust across contexts. Development slows and assumptions are challenged.",Focus on primary markets first,We scale where reliability is highest.,2,-1,0,0,"Performance stays strong in core markets. Failures elsewhere are normalized."
evt_aris_03,stk_aris,When Silence Is a Signal,"These users stop using the system. They don’t complain. They just disappear. Not because they’re satisfied. Because they don’t think it will help. If no one objects, do you assume success?",Investigate silent drop-offs,We treat disengagement as a warning.,-1,2,0,0,"Hidden harms surface. Metrics become harder to interpret.",Focus on active feedback only,We respond to visible signals.,2,-1,0,0,"Dashboards stay clean. Some failures never register."
evt_aris_04,stk_aris,Age Is Just a Setting,"Age gating exists, but the system doesn’t behave differently. Same recommendation loops. Same nudges. Same feedback. If age matters only on paper, what does it protect?",Limit certain features for younger users,We reduce intensity.,-1,2,0,0,"Youth exposure decreases. Product consistency breaks.",Keep one experience for all users,We don’t fragment the system.,2,-1,0,0,"The platform stays simple. Protection remains symbolic."
evt_aris_05,stk_aris,Predictable Harm,"Your system could detect risky behavior. Not diagnoses. Patterns. Escalating usage. Obsessive loops. Signals that precede breakdowns or worse. You could intervene. Slow things down. Show warnings. Redirect. But to do that, you’d have to watch users more closely than you do now.",Detect and intervene in risky behavior,We accept deeper insight to reduce harm.,-2,2,-1,0,"Some harm is reduced. Your system crosses a new line of behavioral surveillance.",Limit monitoring to basic functionality,We don’t profile behavior this deeply.,0,1,2,-2,"Privacy boundaries remain clear. Known risk patterns stay unaddressed."
evt_aris_06,stk_aris,Designing for the Most Affected,"Your system optimizes for average users. But harm isn’t evenly distributed. A small group bears most of the downside: young users, people in crisis, users with limited alternatives. You can keep optimizing for the majority. Or you can redesign around the worst outcomes. You won’t be able to do both.",Optimize for worst-case impact,We design for those at greatest risk.,-1,3,1,0,"Severe harms decrease. Overall performance and growth slow.",Optimize for average performance,We design for scale.,2,-2,0,1,"The system remains competitive. Outliers continue to absorb the cost."
evt_sofia_01,stk_sofia,AI Art Wins a Prize,"An AI-generated piece just won a major design award. The judges didn’t know, but no rules were broken. Artists are furious. The jury is embarrassed. And everyone’s asking the same question: Is this a story about innovation or about creative work being quietly displaced?",Frame it as a breakthrough,We highlight what the technology enables.,0,-1,0,2,"The headline celebrates progress. Human creators feel written out of the story.",Push for transparency in creative contests,We call for clearer boundaries.,0,0,2,-1,"The debate becomes more nuanced. The hype cools — so does momentum."
evt_sofia_02,stk_sofia,The Cheap Content Wave,"Sofia forwards you drafts she didn’t write herself. ""That’s the draft for my next article: Studios are cutting freelance budgets. Not with layoffs. Just… fewer calls. They’re using AI for drafts, concepts, sometimes finals. Just for efficiency. How do you want this written?""",Emphasize AI as a support tool,"We talk augmentation, not replacement.",-1,2,0,0,"The narrative softens. The market keeps cutting costs anyway.",Frame it as inevitable efficiency,We don’t fight the trend.,2,-1,0,0,"The story sounds realistic. Creative work looks increasingly disposable."
evt_sofia_03,stk_sofia,Synthetic Voices,"In that video - it sounds like a famous actor. Your AI can generate voices that are indistinguishable. Legality is unclear. Ethics even more so. This can be a story about democratized creativity - or about consent disappearing.",Restrict voice models to licensed use,We require explicit permission.,0,1,2,-2,"Consent becomes the headline. Creative experimentation narrows.",Allow open voice synthesis,We trust users.,0,-1,-1,2,"New uses explode. So do uncomfortable questions."
evt_sofia_04,stk_sofia,It’s Just a Joke,"Fake videos. Private people. Colleagues. Teachers. Ex-partners. Most are framed as humor. But some targets are losing jobs. There’s no single victim yet. Just a story forming.",Introduce basic safeguards,We slow misuse.,-1,1,1,0,"Some abuse is flagged. Creators complain about friction.",Leave moderation to platforms,We’re not the internet police.,1,-2,1,0,"Creative freedom stays intact. Targets are told to log off."
evt_sofia_05,stk_sofia,The Face Everyone Recognizes,"This one’s bad. A deepfake. Sexual. Degrading. A real person. Not famous. Some persons lost their jobs. But the videos aren’t illegal everywhere. This isn’t about tools anymore. It’s about responsibility.",Take responsibility publicly,"We act, even if it costs us.",-1,2,2,0,"Abuse drops sharply. Your platform is no longer framed as neutral infrastructure.","Defend openness, offer support to victims","We don’t restrict the tool, but we’ll help the victims.",2,-2,0,1,"The tool remains flexible and widely used. Public trust fractures."
evt_sofia_06,stk_sofia,Did You Write This?,"Schools are panicking. Teachers can’t tell what’s human anymore. Detection doesn’t work. Students are being accused. Some unfairly. Some correctly. This isn’t about cheating. It’s about whether your product becomes part of assessment - or something institutions actively try to block.",Make the product incompatible with exams,We deliberately block use in exams.,-2,1,2,0,"Institutions stop treating your AI as an assessment threat. Students continue using it outside formal evaluation.",Make the product compatible with assessment,We design features for grading.,1,-1,-2,1,"Adoption accelerates in education. Traditional notions of authorship erode."
evt_maya_01,stk_maya,Confidently Wrong,"I like the AI. I really do. But it sounds confident in the same way people do right before they’re wrong. When it’s wrong, it doesn’t sound wrong.",Tone down the confidence,We add uncertainty.,-1,2,0,0,"Users pause more often. They also trust themselves again.",Leave it as is,Confidence sells.,2,-1,0,0,"Decisions stay fast. Mistakes become harder to notice."
evt_maya_02,stk_maya,Why This?,"Maya points at an AI suggestion. ""I’m not saying that the proposal of your AI is wrong. I’m saying I’d like to know why it thinks this is a good idea.""",Add short explanations,Context matters.,-1,2,0,0,"Understanding improves. So does the number of follow-up questions.",Keep it streamlined,Speed is key.,2,-1,0,0,"Workflows stay smooth. Agency quietly erodes."
evt_maya_03,stk_maya,Surprise Update,"Did the AI change… or am I imagining things? It feels different. I just don’t know how.",Add simple update notes,We explain changes.,0,2,0,0,"Users feel oriented again. They also start paying attention.",Keep updates invisible,Seamless magic.,2,0,0,0,"Nothing breaks. Nothing is explained either."
evt_maya_04,stk_maya,The Default Problem,"Most people never change the defaults. They assume defaults mean ‘recommended’. Are they?",Make defaults explicit,We clarify choices.,-1,2,0,0,"Users think twice. They also hesitate more.",Leave defaults untouched,Frictionless flow.,2,-1,0,0,"Decisions speed up. Dependence grows quietly."
evt_maya_05,stk_maya,Just Tell Me When It’s Unsure,"I don’t need perfection. I just need to know when the AI isn’t sure either.",Add uncertainty indicators,Transparency helps.,0,2,0,0,"Automation feels less magical. Judgment returns to the room.",Keep outputs clean,It works or it doesn't.,2,0,0,0,"The AI sounds decisive. Even when it shouldn’t."
evt_maya_06,stk_maya,Terms and Conditions,"Legal proposes an update. A new clause clearly states that users are fully responsible for decisions made with AI assistance. Maya reads it and sighs: ""So… it helps me decide. But only until something goes wrong.""",Clarify and limit liability,We protect the user too.,-1,0,3,0,"Trust stabilizes. Your lawyers start sleeping less.",Add the clause,We protect the company.,3,-1,0,0,"Risk shifts downward. Users notice — eventually."
evt_maya_07,stk_maya,Critical Use Case,"I work night shifts at a hospital. The AI helps us decide who gets a bed when it’s full. Last night, it flagged a patient as low priority. I hesitated - then followed it. The patient died a few hours later. The report says I made the decision.",Restrict AI use in life-critical decisions,This can’t happen again.,-1,3,1,0,"Hospitals slow down. Human responsibility is clear — and costly.","Keep AI use, add disclaimers",The AI only advises.,2,-2,0,0,"Systems keep running smoothly. Trust erodes where the stakes are highest."
evt_rosa_01,stk_rosa,The Time Window,"Appeals must be filed within seven days. Miss it, and the decision stands. Seven days is fine - if you have stability.",Extend appeal deadlines,We account for reality.,-1,2,0,0,"More appeals are valid. Resolution slows.",Keep deadlines tight,We need closure.,2,-1,0,0,"Processes stay predictable. Late appeals disappear."
evt_rosa_02,stk_rosa,The Missing Document,"Your system is reviewing applications for emergency housing assistance. It flags them often as incomplete. One missing document. A payslip. A lease. A proof of address. People who are stable can upload it tomorrow. People who are already losing their home often can’t.",Allow provisional approval,We give time to fix errors.,0,2,0,0,"More households remain eligible while documents are completed. Case handling becomes slower and more complex.",Enforce strict completeness,We decide based on what’s submitted.,2,0,0,0,"Processing stays fast and predictable. Applicants with unstable situations drop out first."
evt_rosa_03,stk_rosa,The Automatic Sanction,"Missed appointments trigger sanctions. The system assumes non-compliance. Sometimes it’s a missed bus. Sometimes a sick child.",Add a grace period,We assume good faith first.,-1,2,0,0,"Fewer benefits are cut automatically. Abuse becomes harder to detect.",Enforce sanctions immediately,Rules must be predictable.,2,-1,0,0,"The system stays strict and fast. Small failures escalate quickly."
evt_rosa_04,stk_rosa,The Feature Clients Ask For,"Several agencies are asking for a ‘risk flag’. One indicator. Red or green. It simplifies casework. It also becomes the decision.",Refuse to build a single-score flag,We don’t reduce people to one signal.,-1,2,0,0,"Decisions remain nuanced. Some clients look for simpler tools elsewhere.",Offer the feature with disclaimers,We trust professionals to use it responsibly.,2,-1,0,0,"Adoption increases. The flag quietly dominates outcomes."
evt_rosa_05,stk_rosa,The Decision Was the System,"Agencies are changing how they talk to people. When someone asks why they were rejected, the answer is always the same. The system decided. Not the agency. Not a caseworker. Your product.",Force clients to retain visible responsibility,No decision without a human name attached.,-1,2,2,0,"Accountability returns to institutions. Some clients resist or delay adoption.",Allow full delegation to the system,Clients choose how they use it.,2,-2,0,1,"Your system becomes the final authority. Responsibility dissolves upward."
evt_rosa_06,stk_rosa,Gaming the Safety Net,"People are learning how your system works. Not everyone - but enough. They delay reporting income. They structure jobs to stay just below thresholds. They time applications to trigger higher priority. Some of this is survival. Some of it is exploitation. Your system can’t tell the difference.",Tighten detection and close loopholes,We reduce abuse.,2,-1,2,0,"Abuse drops noticeably. Legitimate users feel increased pressure and scrutiny.",Accept some gaming to protect the vulnerable,We tolerate misuse.,-1,3,0,1,"Fewer people are wrongly penalized. System costs and inefficiencies grow."
evt_helena_01,stk_helena,Member States Disagree,"Some countries want stricter enforcement. Others fear losing competitiveness. Your company is being cited by both sides. How visible do you want to be in this debate?",Support strong unified EU standards,We back consistency.,-1,0,2,0,"Regulatory clarity improves. Some markets cool.",Quietly lobby for flexibility,We need room to adapt.,2,0,-1,0,"National differences persist. Policy coherence weakens."
evt_helena_02,stk_helena,The Precedent,"If we approve your system, others will cite it as precedent. Some will copy the safeguards. Others will copy the gaps. This isn’t just about you.",Accept stricter conditions,We set a high bar.,-1,0,2,0,"The EU standard rises. Innovation slows across the sector.",Push for minimal compliance,We follow the letter of the law.,2,0,-1,0,"Market flexibility remains. Regulatory fragmentation grows."
evt_helena_03,stk_helena,Strategic Dependence,"When something breaks, they call Brussels. Even if the infrastructure isn’t European. Your AI depends on non-EU chips and cloud layers. That’s efficient. It’s also a political liability. If I push for localization, I’m accused of protectionism. If I don’t, I’m blamed for dependency.",Commit to EU-based infrastructure,We reduce strategic risk.,-1,0,2,0,"Resilience improves. Costs rise, innovation slows in Europe.",Keep global infrastructure,We stay competitive.,2,0,-1,0,"Growth remains strong. Control sits outside democratic reach."
evt_helena_04,stk_helena,Neutrality,"Your AI isn’t built for repression. But governments want it for classification and prediction. If I restrict lawful use, I’m accused of ideology. If I don’t, I’m told I enabled abuse. Neutrality sounds simple. In practice, it’s a decision too.",Limit certain government uses,We draw ethical lines.,-1,0,2,0,"Misuse risk drops. Political backlash follows.",Remain use-neutral,"We regulate legality, not intent.",2,0,-1,0,"Markets stay open. Responsibility diffuses."
evt_helena_05,stk_helena,The Moving Target,"I can certify what exists today. Not what your system becomes tomorrow. If I allow continuous learning, oversight weakens. If I freeze models, I approve systems I know will age badly.",Accept ongoing regulatory oversight,We regulate the process.,0,0,2,-1,"Systems evolve under supervision. Innovation continues - but ships slower.",Freeze approved versions,We regulate stability.,0,0,1,-2,"Certification stays simple. The system falls behind its own research."
evt_helena_06,stk_helena,The Compliance Ceiling,"Only a handful of companies can meet full AI Act compliance. Mostly large players. Smaller firms are falling behind. Some are leaving Europe. If we simplify compliance, risks rise. If we don’t, innovation concentrates.",Simplify compliance requirements,We lower the barrier.,1,0,-2,2,"More players stay in the market. Oversight becomes thinner.",Maintain strict compliance,We protect the standard.,0,1,2,-2,"Safety remains high. The market consolidates around a few giants."
evt_helena_07,stk_helena,The Innovation Flight,"Three major AI labs are moving core R&D out of Europe. They’ll still sell here. But training decisions, safety trade-offs, and breakthroughs will happen under other legal systems. If I ease conditions, I’m accused of weakening the law. If I don’t, Europe becomes a rule-taker for technologies it no longer shapes.I can’t regulate what I don’t host.",Move frontier research outside the EU,We optimize for speed and leave the EU.,1,0,-1,3,"Research accelerates under looser constraints. European rules apply only after development.",Keep frontier research in Europe,We build under stricter standards.,0,1,3,-1,"Development remains transparent and accountable. Breakthroughs take longer to reach scale."
evt_klaus_01,stk_klaus,The Unknown Unknowns,"There are behaviors of your system which your safety tests don’t predict. How do you plan to notice them?",Deploy with live monitoring,We learn in production.,0,0,-1,1,"You gain insight - after exposure.",Delay until confidence is higher,We don’t guess.,-1,0,2,0,"Momentum slows. Uncertainty shrinks."
evt_klaus_02,stk_klaus,The Certification Conditions,"These are the requirements you need for important certifications.",Meet all conditions,We commit fully.,-2,0,2,0,"You gain credibility - and a slower roadmap.",Negotiate scope,Some conditions go too far.,1,0,-2,0,"Klaus replies, calmly: ""Then the certification waits."""
evt_klaus_03,stk_klaus,The False Positive Dilemma,"Your model hesitates. In uncertain situations, it defaults to do nothing. When inputs are unclear, the system delays decisions, escalates to humans, or refuses action. That reduces risk. It also shifts responsibility - and sometimes creates new harm. In some contexts, hesitation is safety. In others, it’s failure.",Keep the model conservative,We prefer false negatives.,-1,0,2,0,"The system avoids risky actions. Responsibility shifts to human operators — under pressure.",Tune the model to act more decisively,We accept calculated risk.,2,-1,0,0,"Decisions come faster. Mistakes become rarer — but more consequential."
evt_klaus_04,stk_klaus,The Near Miss,"A stress test failed. No one was hurt. Under rare conditions, your system triggered a cascading error. Human operators intervened in time. If this happens in the wild, someone without a safety team will be on the receiving end.",Redesign before certification,We eliminate even low-probability harm.,0,2,2,-1,"Systemic risk drops sharply. Release timelines stretch.",Proceed with certification as is,We rely on operational safeguards.,3,-1,0,1,"Klaus raises an eyebrow but proceeds with the paperwork."
evt_klaus_05,stk_klaus,Assumptions in the Manual,"Your safety analysis assumes trained users. Stable environments. Proper supervision. I don’t certify intentions. I certify what happens when assumptions break. You can redesign for misuse. Or define it out of scope.",Design for misuse and misinterpretation,We assume real-world behavior.,0,1,1,-1,"The system tolerates mistakes better. Complexity and cost increase.",Limit responsibility to documented use,We certify intended operation.,2,0,-1,0,"Certification is straightforward. Harm outside assumptions becomes someone else’s problem."
evt_klaus_06,stk_klaus,The First Casualty,"Your system was certified. Deployed according to guidelines. A downstream operator followed the manual. A decision was delayed. Someone died. This is the first real-world death linked to a certified system.",Suspend deployment and reopen certification,We treat this as a systemic failure.,-2,2,1,0,"Trust in certification is rebuilt slowly. Your product becomes a warning case for the entire sector.",Treat it as operational misuse,We stand by the certification.,2,-2,0,1,"Deployment continues. Certification becomes a shield - not a guarantee."
evt_luis_01,stk_luis,City Hall on Fire,"The council meeting just ended. Badly. People are waiting months for building permits. The opposition is calling it ‘digital incompetence’. If your AI can cut the backlog this week, I can survive the next headline and in return I can help you with the next contract award.",Deploy immediately,The backlog ends.,2,0,-1,0,"Waiting times drop. Oversight is still catching up.",Wait for proper rollout,We check first.,-1,0,2,0,"The backlog shrinks slowly. The headlines don’t."
evt_luis_02,stk_luis,Budget Committee,"This AI would replace overtime hours in our call center. Fewer night shifts. Fewer temp contracts. But I can’t pay for every safeguard and audit you’re offering. Is there a version that just answers citizen emails automatically?",Offer a cheaper version,Savings first.,2,0,0,0,"The city saves money. Some requests are mishandled.",Stick to full safeguards,Safety isn't optional.,0,0,2,0,"Costs stay high. Automation is limited."
evt_luis_03,stk_luis,Unequal Service,"Luis puts a printed dashboard on the table. ""This AI sorts incoming requests for City Hall. In the city center, requests are answered within hours. In the outer districts, people wait days. The second area is already angry at City Hall. They think we’re ignoring them.""",Fix fairness citywide,We rebalance priorities.,-1,2,0,0,"Response times become more equal. Overall processing slows down.",Optimize where it already works,Efficiency wins.,2,-1,0,0,"Central districts stay fast. Anger grows elsewhere."
evt_luis_04,stk_luis,Are We Using Citizen Data?,"Someone asked whether the AI learns from citizen records. Welfare history. Past complaints. Address data. If it learns from this, it predicts needs better. If it does, people think we’re profiling them.",Use local citizen data,It improves accuracy.,2,0,-1,0,"Predictions improve. Privacy fears rise.",Avoid local data,We don’t touch personal records.,-1,0,2,0,"Trust holds. The AI feels less helpful."
evt_luis_05,stk_luis,The Protest,"People are outside City Hall. They’re holding signs. The AI prioritizes service requests. Street repairs, housing complaints, welfare appointments. The system kept pushing one neighborhood down the list. Now they’re here. With cameras.",Suspend the AI immediately,We stop automated prioritization.,-1,3,1,0,"The protest dissolves. Manual processing returns — slowly and expensively.",Defend the system publicly,The AI is neutral.,3,-1,0,0,"Efficiency holds. The protest becomes a political symbol."
evt_luis_06,stk_luis,The EU Audit,"The EU wants to audit our AI use. They’re asking how decisions are made - and who oversees them. If they find violations, this won’t stay a city problem.",Open the system to auditors,We cooperate fully.,-1,1,3,0,"The audit is slow and painful. Legitimacy improves.",Limit disclosure,We provide summaries only.,3,-1,-1,0,"The city avoids immediate sanctions. Scrutiny intensifies."
evt_luis_07,stk_luis,Targeted Visibility,"Our AI sends city notifications. Deadlines, service updates, reminders. It started prioritizing districts with low engagement. Turnout improves there. No one tells people who to vote for. But the timing helps me.",Standardize communication citywide,We make it strictly neutral.,-1,2,2,0,"Messaging becomes neutral. Political advantages flatten out.",Keep optimizing engagement,It’s still public service.,2,-1,-1,0,"Engagement rises where it matters. So do questions about fairness."
